,Closest_neigh,Index_o_CN
556,2.4,558
557,2.7,551
558,2.4,556
559,2.6,563
560,2.9,516
561,3.0,529
562,2.2,565
563,1.5,564
564,0.4,565
565,0.4,564
566,1.2,564
567,3.7,187
568,3.4,569
569,0.9,570
570,0.9,569
571,1.1,572
572,1.1,571
573,3.4,570
574,1.5,565
575,2.1,570
576,3.6,545
577,3.8,570
578,2.9,570
579,2.3,588
580,3.2,187
581,2.2,592
582,2.6,570
583,3.3,551
584,2.5,591
585,3.6,9
586,1.6,588
587,-1.2,588
588,-1.2,587
589,3.7,591
590,2.2,591
591,2.2,590
592,2.2,581
593,-0.5,621
594,1.4,593
595,3.0,570
596,1.9,593
597,3.5,593
598,1.4,593
599,2.1,600
600,2.1,599
601,3.0,599
602,3.3,603
603,2.6,655
604,0.8,593
605,2.8,603
606,1.4,593
607,2.9,572
608,2.1,606
609,2.5,593
610,1.1,611
611,-0.7,612
612,-0.7,611
613,2.0,612
614,2.9,612
615,2.6,844
616,2.7,615
617,2.0,593
618,2.5,599
619,-2.0,620
620,-2.0,619
621,-0.5,593
622,2.7,490
623,3.1,630
624,3.7,623
625,1.9,627
626,2.7,588
627,1.9,625
628,3.0,627
629,2.0,630
630,1.2,631
631,1.2,630
632,3.3,628
633,2.9,599
634,3.4,599
635,3.7,570
636,1.6,637
637,1.6,636
638,2.1,637
639,2.9,637
640,3.8,570
641,3.3,642
642,3.0,656
643,3.2,647
644,2.2,646
645,2.3,646
646,2.2,644
647,3.2,643
648,2.9,599
649,1.0,650
650,1.0,649
651,3.8,650
652,2.5,558
653,2.9,677
654,3.0,655
655,2.6,603
656,3.0,642
657,3.4,594
658,3.0,441
659,3.5,599
660,3.3,658
661,3.6,214
662,3.8,570
663,3.7,599
664,1.1,665
665,1.1,664
666,2.9,489
667,1.6,593
668,2.9,666
669,3.0,676
670,2.4,675
671,2.6,670
672,2.6,670
673,2.1,674
674,2.1,673
675,2.4,670
676,2.7,671
677,2.9,653
678,2.9,670
679,3.1,664
680,2.2,673
681,2.7,670
682,3.0,153
683,2.3,593
684,0.5,685
685,0.5,684
686,2.6,673
687,2.4,664
688,1.9,689
689,1.9,688
690,2.9,691
691,-2.4,692
692,-2.4,691
693,-0.3,691
694,2.4,684
695,2.7,705
696,2.8,697
697,2.8,696
698,2.3,702
699,0.9,701
700,-2.9,701
701,-2.9,700
702,-1.0,701
703,1.1,702
704,1.8,702
705,2.4,702
706,2.4,702
707,2.3,664
708,0.7,709
709,0.7,708
710,3.3,702
711,2.5,702
712,3.1,702
713,2.3,707
714,3.4,702
715,3.0,633
716,3.3,717
717,3.3,716
718,3.1,702
719,-0.8,720
720,-0.8,719
721,1.5,720
722,-0.3,720
723,2.0,720
724,2.0,720
725,2.6,720
726,1.0,720
727,2.2,720
728,2.0,720
729,1.7,720
730,1.4,720
731,-0.9,732
732,-0.9,731
733,-0.9,732
734,2.9,720
735,3.0,720
736,-0.9,737
737,-0.9,736
738,1.9,720
739,3.2,720
740,2.0,664
741,2.8,720
742,3.3,720
743,2.8,214
744,1.9,720
745,1.9,720
746,3.3,570
747,2.1,720
748,-0.4,749
749,-0.4,748
750,2.1,763
751,3.3,750
752,2.1,720
753,2.6,754
754,2.1,720
755,2.8,720
756,3.1,720
757,3.3,720
758,3.2,759
759,2.0,513
760,2.3,720
761,3.1,760
762,1.7,720
763,2.1,750
764,3.6,720
765,1.9,720
766,3.3,720
767,2.9,594
768,2.3,720
769,0.6,770
770,-0.6,772
771,-0.2,772
772,-0.6,770
773,2.9,771
774,3.2,702
775,3.2,720
776,3.3,720
777,2.4,778
778,2.2,720
779,1.2,720
780,2.2,379
781,3.3,761
782,3.0,798
783,3.0,784
784,-0.4,785
785,-0.4,784
786,0.7,784
787,3.4,720
788,2.9,702
789,3.0,750
790,1.7,804
791,3.4,792
792,1.6,802
793,2.3,794
794,1.5,796
795,3.6,720
796,1.5,794
797,-1.0,798
798,-1.0,797
799,0.4,801
800,1.4,799
801,0.0,802
802,0.0,801
803,0.6,801
804,1.1,801
805,1.1,801
806,1.5,801
807,1.2,801
808,2.3,801
809,0.6,811
810,1.4,809
811,0.6,809
812,1.6,801
813,2.2,801
814,1.7,801
815,2.3,801
816,1.6,720
817,2.0,820
818,1.1,720
819,-0.6,820
820,-2.3,821
821,-2.3,820
822,1.5,820
823,2.5,801
824,1.4,826
825,-0.1,826
826,-0.1,825
827,1.5,826
828,1.6,801
829,2.4,826
830,2.7,801
831,2.7,801
832,1.4,801
833,2.7,801
834,2.3,837
835,2.2,801
836,3.0,801
837,2.3,834
838,3.1,801
839,2.5,825
840,2.7,801
841,2.6,801
842,3.1,801
843,2.2,801
844,1.9,883
845,2.4,801
846,1.7,801
847,2.2,844
848,1.7,801
849,3.0,801
850,2.8,801
851,2.5,852
852,2.5,851
853,2.0,720
854,2.2,801
855,2.3,857
856,1.9,720
857,2.3,855
858,2.8,844
859,2.1,720
860,1.9,861
861,1.9,860
862,2.7,801
863,2.8,801
864,1.6,801
865,2.6,825
866,2.3,720
867,2.0,801
868,1.0,801
869,3.4,801
870,2.1,801
871,-1.6,872
872,-2.3,873
873,-2.3,872
874,3.0,872
875,2.4,720
876,3.3,801
877,2.9,720
878,2.4,872
879,3.4,825
880,-0.0,881
881,-0.0,880
882,2.7,801
883,1.8,887
884,3.1,801
885,3.5,801
886,2.4,1005
887,1.8,883
888,3.1,887
889,2.9,844
890,2.8,801
891,3.4,801
892,3.1,801
893,2.4,801
894,2.8,893
895,3.4,896
896,0.5,897
897,0.5,896
898,3.4,844
899,1.4,871
900,3.3,842
901,3.1,720
902,3.1,901
903,3.4,801
904,3.2,905
905,2.6,801
906,3.6,801
907,3.2,720
908,3.2,801
909,3.5,1127
910,3.7,909
911,2.6,872
912,2.9,801
913,3.3,801
914,1.8,720
915,3.1,720
916,2.9,942
917,3.0,801
918,3.0,801
919,3.7,801
920,3.1,921
921,3.1,920
922,2.8,720
923,2.1,931
924,2.3,927
925,1.6,926
926,1.2,927
927,0.3,928
928,0.3,927
929,1.1,927
930,1.5,927
931,2.1,923
932,2.2,927
933,0.5,935
934,0.7,933
935,-0.8,936
936,-0.8,935
937,2.0,927
938,2.4,927
939,2.8,927
940,2.1,927
941,-0.2,942
942,-0.2,941
943,2.5,927
944,2.1,927
945,3.0,927
946,3.0,927
947,3.0,927
948,3.1,945
949,3.0,927
950,2.6,951
951,2.6,954
952,1.5,953
953,1.5,952
954,1.8,952
955,3.1,954
956,-0.9,957
957,-0.9,956
958,2.6,957
959,3.2,927
960,-0.1,961
961,-0.1,960
962,2.7,966
963,2.4,927
964,2.7,720
965,2.9,801
966,2.7,962
967,3.3,927
968,2.4,801
969,2.7,968
970,1.7,971
971,1.7,970
972,2.5,971
973,2.6,801
974,0.2,976
975,-1.5,976
976,-1.5,975
977,3.0,927
978,-1.6,979
979,-1.6,978
980,2.1,702
981,2.8,978
982,2.4,801
983,2.5,927
984,3.4,927
985,3.4,978
986,3.0,927
987,2.8,927
988,2.6,978
989,1.2,801
990,3.6,951
991,3.3,978
992,2.5,720
993,2.7,992
994,2.5,801
995,2.6,996
996,2.5,997
997,2.5,996
998,3.0,997
999,3.4,997
1000,3.1,1011
1001,3.0,1019
1002,3.3,927
1003,3.0,1005
1004,2.3,1005
1005,2.3,1004
1006,3.1,1007
1007,3.1,1006
1008,2.9,808
1009,2.2,1010
1010,2.2,1009
1011,2.3,1012
1012,2.3,1011
1013,3.4,1011
1014,2.8,801
1015,2.7,801
1016,1.5,1017
1017,1.5,1016
1018,3.4,1019
1019,2.2,1009
1020,3.0,801
1021,2.4,1019
1022,2.2,801
1023,3.5,1022
1024,3.2,720
1025,3.0,1021
1026,3.8,1025
1027,3.3,1028
1028,3.3,1027
1029,2.0,1030
1030,2.0,1029
1031,0.0,1032
1032,0.0,1031
1033,0.3,1035
1034,0.6,1035
1035,-1.4,1036
1036,-1.4,1035
1037,2.9,1036
1038,2.7,1039
1039,2.7,1038
1040,2.9,720
1041,3.5,1059
1042,2.8,1036
1043,3.5,1009
1044,3.3,1066
1045,2.4,866
1046,3.2,945
1047,3.4,927
1048,2.9,1052
1049,2.3,1036
1050,2.6,1036
1051,2.3,1052
1052,2.3,1051
1053,2.4,1036
1054,2.8,801
1055,2.9,801
1056,3.2,1057
1057,3.2,1056
1058,3.3,1056
1059,3.5,1060
1060,3.5,1059
1061,1.1,1062
1062,1.1,1061
1063,2.7,1061
1064,3.3,1065
1065,3.1,1067
1066,3.3,1044
1067,3.0,801
1068,2.5,720
1069,2.2,801
1070,3.4,1069
1071,3.1,1069
1072,2.7,1073
1073,2.7,1072
1074,2.6,1075
1075,2.6,1074
1076,2.6,179
1077,3.5,1078
1078,3.0,1075
1079,2.7,1072
1080,-2.2,1081
1081,-2.2,1080
1082,2.6,1081
1083,3.1,1084
1084,3.1,1083
1085,2.2,1036
